prplRqstNo,instRcptSn
1AB-2509-0009624,201093877
1AB-2509-0009606,201093871
1AB-2509-0009602,201093866
1AB-2509-0009592,201093862
1AB-2509-0009590,201093780
1AB-2509-0009579,201093777
1AB-2509-0009576,201093772
1AB-2509-0009569,201093771
1AB-2509-0009561,201093768
1AB-2509-0009562,201093767
1AB-2509-0009472,201093732
1AB-2509-0009465,201093693
1AB-2509-0009457,201093687
1AB-2509-0009455,201093686
1AB-2509-0009446,201093679
1AB-2509-0009443,201093676
1AB-2509-0009418,201093675
1AB-2509-0009420,201093673
1AB-2509-0009438,201093668
1AB-2509-0009431,201093665
1AB-2509-0009422,201093663
1AB-2509-0009419,201093662
1AB-2509-0009397,201093641
1AB-2509-0009372,201093627
1AB-2509-0009371,201093621
1AB-2509-0009363,201093612
1AB-2509-0009333,201093601
1AB-2509-0009294,201093574
1AB-2509-0009305,201093570
1AB-2509-0009318,201093801
1AB-2509-0009318,201093794
1AB-2509-0009318,201093805
1AB-2509-0009318,201093808
1AB-2509-0009318,201093810
1AB-2509-0009318,201093812
1AB-2509-0009318,201093798
1AB-2509-0009318,201093800
1AB-2509-0009318,201093568
1AB-2509-0009318,201093803
1AB-2509-0009318,201093793
1AB-2509-0009318,201093788
1AB-2509-0009318,201093790
1AB-2509-0009318,201093791
1AB-2509-0009308,201093563
1AB-2509-0009283,201093544
1AB-2509-0009279,201093521
1AB-2509-0009273,201093518
1AB-2509-0009271,201093517
1AB-2509-0009257,201094622
1AB-2509-0009257,201094623
1AB-2509-0009257,201094624
1AB-2509-0009259,201093512
1AB-2509-0009252,201093510
1AB-2509-0009244,201093509
1AB-2509-0009261,201093508
1AB-2509-0009234,201093503
1AB-2509-0009228,201093499
1AB-2509-0009232,201093497
1AB-2509-0009230,201093496
